city,years,area,rooms,floor,building_type,heating_type,installation,price
Vilkaviškio m.,1984,49,2,2,Centrinis,Mūrinis,Įrengtas,35000
Ukmergės m.,1983,"48,74",2,1,Centrinis,Mūrinis,Įrengtas,38000
Marijampolės m.,1974,85,4,9,Centrinis,Blokinis,Įrengtas,62000
Alytaus m.,1980,"76,53",4,5,Centrinis,Blokinis,Įrengtas,53000
Kauno m.,1988,"61,05",3,1,Centrinis,Blokinis,Įrengtas,76000
Šiaulių m.,1973,48,2,5,Centrinis,Blokinis,Įrengtas,43000
Šateikių k.,1968,41,2,2,Kietukuru,Medinis,Įrengtas,3100
Vilniaus m.,2014,45,2,6,Centriniskolektorinis,Mūrinis,Įrengtas,129000
Gabšių k.,1969,67,3,2,"Aeroterminis,kietukuru",Mūrinis,Įrengtas,35500
Jonavos m.,1977,"38,50",2,2,Centrinis,Mūrinis,Įrengtas,24000
Kuršėnų m.,1972,"48,98",3,5,Centriniskolektorinis,Blokinis,Įrengtas,55000
Šilalės m.,1992,75,3,4,Centriniskolektorinis,Blokinis,Įrengtas,75000
Prienų m.,1977,"29,03",1,4,Centrinis,Mūrinis,Įrengtas,35000
Klaipėdos m.,1990,82,4,5,Centrinis,Mūrinis,Įrengtas,85000
Prūdiškių k.,1996,107,4,3,Dujinis,Mūrinis,Įrengtas,84000
Klaipėdos m.,1961,50,3,2,Centriniskolektorinis,Mūrinis,Įrengtas,126000
Telšių m.,1958,56,2,1,Kietukuru,Medinis,Įrengtas,23000
Kauno m.,1978,64,3,7,Centrinis,Blokinis,Įrengtas,72000
Marijampolės m.,1965,94,4,2,Centriniskolektorinis,Mūrinis,Įrengtas,94000
Lentvario k.,1968,45,2,1,Kietukuru,Mūrinis,Įrengtas,45000
Joniškėlio k.,1971,"87,05",3,1,Kietukuru,Mūrinis,Įrengtas,12000
Panevėžio m.,1989,"36,70",1,1,Centrinis,Mūrinis,Įrengtas,28000
Pravieniškių k.,1960,43,2,3,Centrinis,Mūrinis,Įrengtas,27000
Panevėžio m.,1986,"36,92",2,2,Centrinis,Mūrinis,Įrengtas,35000
Šiaulių m.,1971,"33,65",1,4,Centrinis,Blokinis,Įrengtas,35600
Kauno m.,1970,"61,16",3,5,Centrinis,Blokinis,Įrengtas,68000
Kretingos m.,1977,"34,65",2,5,Centrinis,Mūrinis,Įrengtas,38000
Žvelgaičių k.,1974,"46,51",2,2,Kietukuru,Mūrinis,Įrengtas,4500
Kauno m.,1984,56,2,1,Centrinis,Mūrinis,Įrengtas,65000
Girkalių k.,2020,28,1,1,Elektra,Karkasinis,Įrengtas,36000
Jonavos m.,1986,"50,42",2,3,Centrinis,Blokinis,Įrengtas,39900
Mažeikių m.,1979,51,2,5,Centrinis,Blokinis,Įrengtas,42000
Klaipėdos m.,1977,"49,11",2,9,Centrinis,Blokinis,Įrengtas,56000
Šiaulių m.,1980,52,2,5,Centrinis,Mūrinis,Įrengtas,47000
Klaipėdos m.,1980,43,2,3,Centriniskolektorinis,Mūrinis,Įrengtas,37000
Rietavo m.,1974,"66,90",2,2,Dujinis,Mūrinis,Įrengtas,45000
Palangos m.,2014,28,2,3,Dujinis,Mūrinis,Įrengtas,110000
Kužių mstl.,1994,"38,58",1,3,Dujinis,Blokinis,Įrengtas,25500
Kėdainių m.,1975,74,4,1,Centrinis,Mūrinis,Įrengtas,50000
Marijampolės m.,1980,14,1,4,Centrinis,Mūrinis,Įrengtas,5500
Kauno m.,2009,75,3,2,Dujinis,Mūrinis,Įrengtas,124000
Klaipėdos m.,1994,"66,53",3,2,Centrinis,Mūrinis,Įrengtas,86000
Kauno m.,1985,38,1,5,Centrinis,Mūrinis,Įrengtas,58500
Alytaus m.,1975,"33,40",1,4,Centrinis,Blokinis,Įrengtas,27500
Vilkaviškio m.,1976,"65,46",3,1,Centrinis,Mūrinis,Įrengtas,56000
Kybartų m.,1985,64,3,4,Centrinis,Mūrinis,Įrengtas,20000
Rietavo m.,1937,30,2,2,Kietukuru,Medinis,Įrengtas,8000
Panevėžio m.,1973,58,3,5,Centrinis,Mūrinis,Įrengtas,46900
Kauno m.,1994,67,3,3,Centrinis,Mūrinis,Įrengtas,95000
Tarailių k.,1967,69,3,2,Centrinis,Mūrinis,Įrengtas,75000
Mažeikių m.,1993,51,2,2,Centrinis,Mūrinis,Įrengtas,49000
Rietavo m.,1976,"48,69",2,4,Centrinis,Mūrinis,Įrengtas,36000
Klaipėdos m.,1978,"33,84",2,2,Centrinis,Blokinis,Įrengtas,39000
Klaipėdos m.,1990,60,2,3,Centriniskolektorinis,Blokinis,Įrengtas,78000
Telšių m.,1989,64,3,4,Centrinis,Kita,Įrengtas,53500
Kauno m.,1970,"70,41",4,1,Centrinis,Mūrinis,Įrengtas,79900
Šiaulių m.,1992,52,2,6,Centrinis,Blokinis,Įrengtas,71500
Marijampolės m.,1960,31,1,2,Centrinis,Mūrinis,Įrengtas,21500
Rokiškio m.,1985,"77,24",3,5,Centrinis,Mūrinis,Įrengtas,48000
Klaipėdos m.,1990,82,4,5,Centriniskolektorinis,Mūrinis,Įrengtas,85000
Vilniaus m.,1960,39,1,1,Dujinis,Mūrinis,Įrengtas,100000
Telšių m.,1980,50,2,3,Centrinis,Mūrinis,Įrengtas,40000
Jurbarko m.,1986,"37,24",1,1,Centrinis,Mūrinis,Įrengtas,22000
Gargždų m.,1981,"37,32",1,3,Centrinis,Mūrinis,Įrengtas,40000
Panevėžio m.,1982,36,2,2,Centrinis,Blokinis,Įrengtas,28000
Klaipėdos m.,1961,10,1,3,Centrinis,Mūrinis,Įrengtas,30000
Baisogalos mstl.,1987,70,3,2,Centrinis,Mūrinis,Įrengtas,24000
Klaipėdos m.,1975,64,3,5,Centrinis,Blokinis,Įrengtas,72000
Šilalės m.,1978,64,3,4,Centrinis,Mūrinis,Įrengtas,72000
Vilkaviškio m.,1993,"65,90",3,1,Centrinis,Mūrinis,Įrengtas,67000
Klaipėdos m.,1993,67,2,7,Centrinis,Blokinis,Įrengtas,67000
Vilniaus m.,2021,80,4,2,Centriniskolektorinis,Mūrinis,Įrengtas,157000
Palangos m.,1992,"51,90",2,1,Centrinis,Mūrinis,Įrengtas,88500
Anykščių m.,1968,"21,23",1,1,Centriniskolektorinis,Mūrinis,Įrengtas,32000
Pažagienių k.,1985,"38,57",2,1,Centrinis,Mūrinis,Įrengtas,45000
Radviliškio m.,1985,"34,83",2,1,Centrinis,Mūrinis,Įrengtas,20000
Šiaulių m.,1975,"30,48",1,2,Centrinis,Kita,Įrengtas,29500
Klaipėdos m.,1977,18,2,5,Centrinis,Blokinis,Įrengtas,10500
Kupiškio m.,1984,50,2,3,Centrinis,Blokinis,Įrengtas,19000
Kauno m.,1973,36,2,5,Centrinis,Mūrinis,Įrengtas,45000
Klausučių k.,1973,75,3,2,Kietukuru,Mūrinis,Įrengtas,13000
Vilniaus m.,1977,35,1,1,Centrinis,Blokinis,Įrengtas,63500
Plungės m.,1960,80,4,2,Kitas,Mūrinis,Įrengtas,74000
Kelmės m.,1990,50,2,5,Centrinis,Blokinis,Įrengtas,34000
Kauno m.,1992,37,1,4,Centrinis,Mūrinis,Įrengtas,59500
Biržų Lauko k.,1980,90,3,1,Kietukuru,Mūrinis,Įrengtas,35000
Vilniaus m.,1981,"20,76",1,1,Centrinis,Blokinis,Įrengtas,22000
Gelgaudiškio m.,1989,"63,93",3,1,Centrinis,Mūrinis,Įrengtas,27000
Klaipėdos m.,1975,38,2,5,Centrinis,Mūrinis,Įrengtas,49900
Klaipėdos m.,1975,27,1,3,Centrinis,Mūrinis,Įrengtas,39000
Lazdijų m.,1961,"48,86",3,2,Centrinis,Mūrinis,Įrengtas,25000
Panevėžio m.,1968,62,3,2,Centrinis,Blokinis,Įrengtas,60000
Panevėžio m.,1969,"46,80",2,4,Centrinis,Blokinis,Įrengtas,40000
Kėdainių m.,1989,50,2,3,Centrinis,Blokinis,Įrengtas,48500
Tauragės m.,1993,"51,48",2,3,Centrinis,Blokinis,Įrengtas,47000
Vilniaus m.,2020,46,2,3,Centriniskolektorinis,Mūrinis,Įrengtas,103400
Kauno m.,1978,50,2,3,Centrinis,Blokinis,Įrengtas,73500
Kėdainių m.,1972,14,1,2,Centrinis,Blokinis,Įrengtas,7700
Kuršėnų m.,1972,56,3,3,Centrinis,Mūrinis,Įrengtas,55900
Alytaus m.,1978,"61,65",3,1,Centrinis,Blokinis,Įrengtas,52500
Kybartų m.,1975,27,1,3,Centrinis,Mūrinis,Įrengtas,8500
Kauno m.,1984,90,4,5,Centriniskolektorinis,Mūrinis,Įrengtas,211000
Klaipėdos m.,1993,47,1,5,Centriniskolektorinis,Blokinis,Įrengtas,56000
Alytaus m.,1966,"46,50",2,3,Centrinis,Mūrinis,Įrengtas,55000
Telšių m.,1970,"49,64",2,5,Centrinis,Mūrinis,Įrengtas,60000
Marijampolės m.,1967,35,2,1,Centrinis,Mūrinis,Įrengtas,38000
Laikšių k.,1978,62,3,1,Kietukuru,Mūrinis,Įrengtas,5500
Šilalės m.,1968,55,3,2,"Centrinis,centriniskolektorinis",Mūrinis,Įrengtas,52000
Panevėžio m.,1982,"33,23",1,5,Centrinis,Monolitinis,Įrengtas,27900
Joniškio m.,1987,"50,02",2,4,Centrinis,Mūrinis,Įrengtas,35000
Plungės m.,1991,50,2,1,Centrinis,Mūrinis,Įrengtas,57000
Klaipėdos m.,1960,43,2,4,Centrinis,Mūrinis,Įrengtas,41999
Klaipėdos m.,1936,43,2,1,"Dujinis,kietukuru",Mūrinis,Įrengtas,85000
Plungės m.,2019,78,4,5,Centrinis,Kita,Įrengtas,79000
Klaipėdos m.,1971,33,1,3,Centrinis,Blokinis,Įrengtas,56000
Kauno m.,1980,"50,78",2,6,Centrinis,Blokinis,Įrengtas,70000
Panevėžio m.,1975,36,2,4,Centrinis,Mūrinis,Įrengtas,33000
Kauno m.,1970,100,4,1,"Centrinis,dujinis,kietukuru",Mūrinis,Įrengtas,120000
Anykščių m.,1983,62,3,1,Centrinis,Mūrinis,Įrengtas,63000
Klaipėdos m.,1958,16,1,3,Centrinis,Mūrinis,Įrengtas,10000
Vilniaus m.,1940,36,2,1,Kietukuru,Medinis,Įrengtas,140000
Palangos m.,2021,28,1,1,Elektra,Karkasinis,Įrengtas,18000
Palangos m.,1970,40,2,2,Kitas,Mūrinis,Įrengtas,142000
Terespolio k.,1950,44,3,1,Kietukuru,Mūrinis,Įrengtas,5500
Naujamiesčio mstl.,1971,"51,37",2,1,Kietukuru,Mūrinis,Įrengtas,27900
Vilniaus m.,1982,"18,92",1,2,Kitas,Mūrinis,Įrengtas,18300
Kauno m.,1987,"12,36",1,2,Centrinis,Mūrinis,Įrengtas,16000
Palangos m.,2021,40,2,1,Kitas,Mūrinis,Įrengtas,163000
Kaišiadorių m.,1988,"48,89",2,2,Centrinis,Blokinis,Įrengtas,55000
