city,years,area,rooms,avg_heat_per_m,floor,building_type,heating_type,installation,price
Vilnius,1958,50,2,,5,Mūrinis,Centrinis,Įrengtas,115000
Klaipėda,2016,50,2,,4,Mūrinis,Dujinis,Įrengtas,149000
Kaunas,1968,"73,76",4,"37,62",2,Mūrinis,Centrinis,Įrengtas,89000
Kaunas,1932,"53,43",3,,3,Mūrinis,Elektra,Įrengtas,108000
Vilnius,1990,262,7,,1,Mūrinis,Elektra,Įrengtas,563000
Šiauliai,1962,"42,15",2,"36,67",5,Mūrinis,Centrinis,Įrengtas,62000
Alytus,1972,"60,83",3,,3,Blokinis,Centriniskolektorinis,Įrengtas,56200
Vilnius,1979,"50,26",2,"19,60",2,Mūrinis,"Centrinis,centriniskolektorinis",Įrengtas,149999
Kauno r. sav.,2023,63,3,,2,Mūrinis,Dujinis,Įrengtas,86000
Neringos m.,2002,48,2,,2,Mūrinis,Elektra,Įrengtas,225000
Kaunas,1992,"31,91",1,"13,40",4,Mūrinis,Centrinis,Įrengtas,41999
Panevėžys,1977,"50,21",2,"36,65",4,Mūrinis,Centrinis,Įrengtas,41000
Vilnius,2008,"55,5",2,,4,Mūrinis,Centriniskolektorinis,Įrengtas,105000
Elektrėnų m.,2014,60,3,,2,Mūrinis,Dujinis,Įrengtas,92000
Vilnius,2007,"72,2",3,"23,10",1,Blokinis,Centrinis,Įrengtas,128000
Klaipėda,2008,57,2,,2,Mūrinis,Centriniskolektorinis,Įrengtas,124990
Klaipėda,1981,"48,09",2,,3,Blokinis,Centrinis,Įrengtas,61000
Kaunas,1990,"36,11",1,,11,Blokinis,Centrinis,Įrengtas,42999
Vilnius,2019,"45,32",2,,1,Mūrinis,Centriniskolektorinis,Įrengtas,126000
Akmenės r. sav.,1975,"33,43",1,,5,Blokinis,Centrinis,Įrengtas,7500
Vilnius,2009,"62,82",2,,5,Mūrinis,Centriniskolektorinis,Įrengtas,239000
Vilnius,1985,"35,31",1,,2,Blokinis,Centrinis,Įrengtas,71500
Vilnius,1970,"46,8",2,"30,42",1,Blokinis,Centrinis,Įrengtas,89000
Klaipėda,2015,"58,44",3,,2,Mūrinis,Dujinis,Įrengtas,126000
