city,years,area,rooms,avg_heat_per_m,floor,building_type,heating_type,installation,price
Palanga,1989,"38,57",1,,1,Mūrinis,Centrinis,Įrengtas,72000
Visagino m.,1986,"58,17",3,,3,Mūrinis,Centrinis,Įrengtas,40000
Vilnius,2015,"49,75",2,,2,Mūrinis,Centriniskolektorinis,Įrengtas,149000
Jurbarko m.,1986,37,1,,1,Mūrinis,Centrinis,Įrengtas,23000
Visagino m.,1984,"35,7",1,,1,Mūrinis,Centrinis,Įrengtas,11000
Panevėžys,1979,63,3,"38,43",5,Mūrinis,Centrinis,Įrengtas,61000
Vilnius,1968,47,2,"26,32",4,Blokinis,Centrinis,Įrengtas,78000
Mažeikių m.,1967,35,2,,5,Mūrinis,Centrinis,Įrengtas,26000
Telšių m.,1990,"71,69",3,,2,Mūrinis,Centrinis,Įrengtas,56000
Zarasų m.,1989,"47,77",2,,2,Medinis,Centrinis,Įrengtas,32000
Joniškio m.,1988,50,2,,4,Blokinis,Centrinis,Įrengtas,22900
Alytus,1985,18,1,,1,Mūrinis,Centrinis,Įrengtas,12500
Šiauliai,1975,39,1,,4,Blokinis,Centriniskolektorinis,Įrengtas,42800
Vilnius,1962,44,2,"40,92",2,Mūrinis,Centrinis,Įrengtas,81900
Mažeikių m.,1969,"44,78",2,,2,Blokinis,Centrinis,Įrengtas,28000
Jonavos m.,1980,"49,65",2,,3,Blokinis,Centrinis,Įrengtas,56500
Vilnius,1994,"35,25",1,,1,Blokinis,Centrinis,Įrengtas,67000
Švenčionių r. sav.,1987,52,2,,2,Mūrinis,Centrinis,Įrengtas,33500
Palanga,2020,40,2,,1,Blokinis,Elektra,Įrengtas,145000
Tauragės m.,1973,"63,39",3,,5,Blokinis,Centrinis,Įrengtas,59000
Šilutės m.,1988,"32,35",1,,1,Mūrinis,Centrinis,Įrengtas,24500
Panevėžys,1978,"63,96",3,"36,46",5,Blokinis,Centrinis,Įrengtas,53500
Kaunas,1957,"55,18",2,"39,73",3,Mūrinis,Centrinis,Įrengtas,55000
Vilnius,2006,"52,22",2,,7,Monolitinis,Centriniskolektorinis,Įrengtas,154900
Druskininkų m.,2015,"90,3",4,,3,Mūrinis,Centriniskolektorinis,Įrengtas,220000
Druskininkų m.,2015,"90,51",4,,2,Mūrinis,Centriniskolektorinis,Įrengtas,220000
Tauragės m.,1982,"56,58",3,,5,Kita,Centrinis,Įrengtas,53000
Kaunas,1971,48,2,"22,56",4,Blokinis,Centrinis,Įrengtas,87999
Jonavos m.,1980,"50,47",2,,2,Blokinis,Centrinis,Įrengtas,62000
Vilnius,1987,"50,38",2,"11,08",7,Blokinis,Centrinis,Įrengtas,85000
Vilnius,2007,"58,5",2,"22,82",4,Mūrinis,Centriniskolektorinis,Įrengtas,143500
Druskininkų m.,1977,"50,6",2,,5,Mūrinis,Centrinis,Įrengtas,40000
Vilnius,1978,"52,14",2,"32,33",1,Blokinis,Centrinis,Įrengtas,100000
Vilnius,2007,"44,87",2,"17,50",5,Monolitinis,Centriniskolektorinis,Įrengtas,97000
Šilutės r. sav.,1974,"72,28",3,,2,Mūrinis,Centrinis,Įrengtas,27000
Klaipėdos r. sav.,1994,77,3,,5,Blokinis,Centrinis,Įrengtas,69800
Marijampolės m.,1965,"29,44",1,,4,Mūrinis,Centrinis,Įrengtas,23500
Palanga,1983,18,1,,1,Mūrinis,Elektra,Įrengtas,37500
Šiauliai,1969,47,2,"27,73",3,Blokinis,Centrinis,Įrengtas,50000
Palanga,2020,"32,41",2,,2,Mūrinis,Aeroterminis,Įrengtas,139900
Vilnius,2015,"46,3",2,"14,35",1,Mūrinis,Centriniskolektorinis,Įrengtas,123000
Panevėžys,1993,44,1,"26,84",3,Blokinis,Centrinis,Įrengtas,68000
Jonavos m.,1989,33,1,,5,Blokinis,"Centrinis,centriniskolektorinis",Įrengtas,21000
Klaipėda,1963,"38,36",2,,3,Mūrinis,Centrinis,Įrengtas,69000
Vilnius,2007,65,2,"22,10",7,Mūrinis,Centrinis,Įrengtas,119500
Druskininkų m.,1965,58,3,,2,Mūrinis,Centrinis,Įrengtas,116000
Kaunas,1967,"43,93",2,"20,21",5,Blokinis,Centrinis,Įrengtas,53900
Vilnius,2017,"70,74",3,,4,Mūrinis,Dujinis,Įrengtas,185000
Vilnius,1964,44,2,"32,56",3,Mūrinis,Centrinis,Įrengtas,98000
Klaipėda,2006,"57,6",2,,2,Mūrinis,Centriniskolektorinis,Įrengtas,126720
Šiauliai,2007,"73,6",3,,2,Mūrinis,Dujinis,Įrengtas,142000
Jurbarko r. sav.,1990,70,3,,2,Blokinis,Centrinis,Įrengtas,18000
Šilutės m.,1984,47,2,,1,Blokinis,Centrinis,Įrengtas,43000
Elektrėnų m.,1978,61,3,,9,Mūrinis,Centrinis,Įrengtas,59500
Kaunas,2010,50,2,,2,Mūrinis,"Centrinis,elektra,kietukuru",Įrengtas,98000
Šilutės r. sav.,1988,55,3,,2,Mūrinis,Centrinis,Įrengtas,35000
Alytus,1976,"51,49",2,,4,Blokinis,Centrinis,Įrengtas,50000
Vilnius,2007,47,2,"15,98",3,Mūrinis,Centrinis,Įrengtas,90000
Vilniaus r. sav.,1976,"51,07",2,,5,Mūrinis,Centrinis,Įrengtas,72000
Klaipėda,1988,77,3,,4,Blokinis,Centrinis,Įrengtas,81000
Kupiškio m.,1990,"36,45",1,,2,Blokinis,Centrinis,Įrengtas,15500
Vilnius,2013,"67,23",3,"19,50",2,Monolitinis,Centriniskolektorinis,Įrengtas,155000
Kaunas,1949,"24,16",1,"14,74",4,Mūrinis,Centrinis,Įrengtas,79000
Alytus,1975,"33,14",1,,5,Blokinis,Centrinis,Įrengtas,32000
Šiauliai,1974,30,1,"17,70",5,Blokinis,Centrinis,Įrengtas,35500
Kaunas,1970,"47,38",2,"17,53",1,Blokinis,Centrinis,Įrengtas,61000
Kaunas,1956,18,1,,1,Mūrinis,Centrinis,Įrengtas,46800
Kėdainių m.,1990,36,1,,1,Blokinis,Centrinis,Įrengtas,28000
Vilnius,1985,51,2,"37,23",9,Blokinis,Centrinis,Įrengtas,95000
Vilnius,2012,62,3,,1,Monolitinis,Centriniskolektorinis,Įrengtas,190000
Šilalės r. sav.,1920,106,3,,2,Mūrinis,Kita,Įrengtas,49000
Mažeikių m.,1973,"64,5",3,,5,Blokinis,Centrinis,Įrengtas,39900
Kaunas,1933,"65,89",3,,1,Mūrinis,Dujinis,Įrengtas,138000
Kaunas,2008,"64,32",2,,1,Mūrinis,Centriniskolektorinis,Įrengtas,110000
Palanga,2021,31,2,,1,Mūrinis,Kita,Įrengtas,107000
Visagino m.,1986,"39,48",1,,8,Mūrinis,Centrinis,Įrengtas,8000
Lazdijų r. sav.,1982,"56,75",2,,2,Mūrinis,Centrinis,Įrengtas,45000
Biržų r. sav.,1975,45,2,,1,Mūrinis,Centrinis,Įrengtas,10500
Klaipėda,2006,"50,9",2,,2,Mūrinis,Elektra,Įrengtas,90000
Klaipėda,2014,"60,29",2,,2,Mūrinis,Centriniskolektorinis,Įrengtas,245000
Klaipėda,1978,"77,16",4,,4,Mūrinis,Centrinis,Įrengtas,82400
Vilnius,2007,72,3,"32,40",5,Mūrinis,Centriniskolektorinis,Įrengtas,205000
Radviliškio m.,1976,50,2,,4,Mūrinis,Centrinis,Įrengtas,42000
Vilnius,1992,42,2,,4,Blokinis,Centrinis,Įrengtas,85000
Vilnius,1940,"53,08",2,"20,17",3,Mūrinis,Dujinis,Įrengtas,263000
Vilnius,1940,"72,36",2,"62,95",1,Mūrinis,Centrinis,Įrengtas,155000
Druskininkų m.,2007,"62,5",3,,2,Mūrinis,Centriniskolektorinis,Įrengtas,148000
Vilnius,1961,"42,81",2,"35,53",2,Mūrinis,Centrinis,Įrengtas,134000
Panevėžys,1986,68,3,"56,44",4,Mūrinis,Centrinis,Įrengtas,87400
Vilnius,1980,50,2,"13,50",2,Blokinis,Centrinis,Įrengtas,80000
Palanga,2021,20,1,,2,Blokinis,Elektra,Įrengtas,74999
Vilnius,2018,34,2,"11,22",8,Monolitinis,Centriniskolektorinis,Įrengtas,125000
Klaipėda,2006,"72,79",3,,3,Monolitinis,Centriniskolektorinis,Įrengtas,167000
Vilnius,1982,67,3,"46,90",2,Blokinis,Centrinis,Įrengtas,97999
Rokiškio m.,1978,"64,63",3,,4,Blokinis,Centrinis,Įrengtas,49000
Kaunas,1989,"31,7",1,"10,14",4,Mūrinis,Centrinis,Įrengtas,49000
Tauragės m.,1963,"43,8",2,,4,Mūrinis,Centrinis,Įrengtas,44400
Vilnius,1992,"37,07",1,"6,30",3,Blokinis,Centrinis,Įrengtas,69900
Kupiškio m.,1975,"58,79",3,,4,Mūrinis,Centrinis,Įrengtas,35000
Vilnius,1967,"44,43",2,"23,10",5,Blokinis,Centrinis,Įrengtas,86300
Vilnius,2008,"47,58",2,,3,Mūrinis,Centrinis,Įrengtas,105000
Vilnius,2006,"64,32",3,"27,66",2,Mūrinis,Centrinis,Įrengtas,156000
Telšių m.,1990,74,3,,1,Mūrinis,"Centrinis,elektra",Įrengtas,62000
Kaunas,1985,"37,17",1,,4,Blokinis,Centrinis,Įrengtas,49900
Vilnius,1973,"33,4",1,,5,Blokinis,Centrinis,Įrengtas,79000
Kaunas,1974,"51,17",2,"24,56",2,Mūrinis,Centrinis,Įrengtas,65000
Ukmergės m.,1980,"51,71",2,,4,Mūrinis,Centriniskolektorinis,Įrengtas,49999
Palanga,2010,32,1,,3,Monolitinis,Dujinis,Įrengtas,90000
Kaunas,2018,68,2,"11,56",7,Kita,Centriniskolektorinis,Įrengtas,144000
Pakruojo m.,1981,"76,41",4,,3,Mūrinis,Centrinis,Įrengtas,37999
Kaunas,1986,"59,86",3,"35,92",11,Blokinis,Centrinis,Įrengtas,79900
Akmenės r. sav.,1964,"37,92",2,,4,Mūrinis,Centrinis,Įrengtas,7800
Klaipėda,1930,103,4,,3,Mūrinis,"Centrinis,elektra",Įrengtas,187000
Marijampolės sav.,1928,52,2,,1,Medinis,Kietukuru,Įrengtas,14500
Jonavos m.,1986,"52,04",2,,4,Blokinis,Centrinis,Įrengtas,57500
Vilnius,2007,52,2,,7,Blokinis,Centriniskolektorinis,Įrengtas,98000
Radviliškio m.,1962,"38,4",2,,2,Mūrinis,Centrinis,Įrengtas,28000
Vilnius,1984,67,3,"45,56",3,Blokinis,Centrinis,Įrengtas,89000
Klaipėda,1978,"65,5",3,,8,Blokinis,Centrinis,Įrengtas,83000
Vilnius,1962,"44,22",2,,4,Blokinis,Centriniskolektorinis,Įrengtas,107000
Ukmergės m.,1974,"84,9",3,,1,Mūrinis,Dujinis,Įrengtas,69000
Vilnius,1974,"32,4",1,,2,Blokinis,Centrinis,Įrengtas,62000
Druskininkų m.,2009,"53,28",2,,5,Mūrinis,Centriniskolektorinis,Įrengtas,145000
Vilnius,1991,"66,97",3,"52,24",4,Blokinis,Centrinis,Įrengtas,109000
Visagino m.,1987,"67,22",3,,3,Blokinis,Centrinis,Įrengtas,45999
Marijampolės m.,1985,17,1,,4,Mūrinis,"Centrinis,elektra",Įrengtas,3900
Vilnius,1973,33,1,,2,Blokinis,Centrinis,Įrengtas,60000
Kauno r. sav.,1977,34,2,,1,Mūrinis,Centrinis,Įrengtas,40000
Šilutės m.,1978,50,2,,2,Mūrinis,Centrinis,Įrengtas,48000
Vilnius,2007,177,4,"76,11",5,Mūrinis,Centriniskolektorinis,Įrengtas,1350000
Panevėžys,1968,"44,52",2,"26,71",5,Blokinis,Centrinis,Įrengtas,40700
Vilnius,2021,80,4,,8,Blokinis,Centriniskolektorinis,Įrengtas,330000
Tauragės r. sav.,1960,"39,3",2,,2,Mūrinis,Centrinis,Įrengtas,25000
Vilnius,1954,"40,81",2,,2,Mūrinis,Kietukuru,Įrengtas,38400
Šiauliai,1964,25,1,,2,Mūrinis,Centrinis,Įrengtas,35000
Vilnius,1995,"165,55",8,"16,56",2,Monolitinis,Centrinis,Įrengtas,247500
Marijampolės m.,1969,"29,67",1,,5,Mūrinis,Centrinis,Įrengtas,26199
Kaunas,1978,32,1,"21,44",3,Mūrinis,Centrinis,Įrengtas,47800
Vilnius,1972,21,1,"17,01",2,Mūrinis,Centrinis,Įrengtas,50000
Radviliškio r. sav.,1963,"49,79",3,,2,Mūrinis,Centrinis,Įrengtas,15445
Alytus,1978,48,2,,5,Blokinis,Centrinis,Įrengtas,42000
Kaunas,1984,84,4,"47,04",3,Blokinis,Centrinis,Įrengtas,98000
Joniškio m.,1975,54,2,,1,Mūrinis,Kietukuru,Įrengtas,25000
Marijampolės sav.,1964,45,2,,3,Mūrinis,Centrinis,Įrengtas,15900
Kaunas,2016,156,5,,3,Mūrinis,Dujinis,Įrengtas,449000
Vilnius,1975,"29,25",1,"17,84",3,Mūrinis,Centrinis,Įrengtas,65000
Jonavos r. sav.,1981,81,4,,2,Mūrinis,Centrinis,Įrengtas,47000
Vilnius,1968,"46,81",2,"27,15",5,Blokinis,Centrinis,Įrengtas,87000
Telšių m.,1981,"50,14",2,,4,Blokinis,Centrinis,Įrengtas,52000
Panevėžys,1992,64,3,"28,16",5,Blokinis,Centrinis,Įrengtas,65000
Ukmergės m.,1963,43,2,,4,Mūrinis,Centrinis,Įrengtas,36000
Alytus,2018,"48,44",2,,1,Blokinis,Centrinis,Įrengtas,59000
Vilnius,1900,70,3,,2,Mūrinis,"Elektra,kietukuru",Įrengtas,143000
Vilnius,2021,46,2,,2,Blokinis,Centriniskolektorinis,Įrengtas,103400
Kaunas,1981,60,3,"45,00",1,Blokinis,Centrinis,Įrengtas,105000
Kaišiadorių r. sav.,1976,"49,03",2,,2,Mūrinis,Dujinis,Įrengtas,50000
Šiauliai,1986,50,2,"29,00",5,Blokinis,"Centrinis,elektra",Įrengtas,63500
Klaipėda,1998,"77,56",3,,5,Blokinis,"Centrinis,elektra",Įrengtas,83000
Anykščių m.,1971,52,2,,1,Mūrinis,Centrinis,Įrengtas,33000
Jonavos m.,1983,64,3,,5,Blokinis,Centrinis,Įrengtas,70000
Jonavos m.,1974,64,3,,4,Mūrinis,Centrinis,Įrengtas,56500
Vilnius,1961,"28,25",1,,3,Karkasinis,Dujinis,Įrengtas,79900
Vilnius,2015,62,2,"18,60",9,Mūrinis,Centriniskolektorinis,Įrengtas,120000
Panevėžys,1992,"35,87",1,"21,16",2,Blokinis,Centrinis,Įrengtas,33000
Vilnius,1999,195,6,,5,Mūrinis,Dujinis,Įrengtas,410000
Vilnius,1987,90,4,"47,70",5,Blokinis,Centrinis,Įrengtas,179000
Vilnius,1965,"44,08",2,"8,82",3,Blokinis,Centrinis,Įrengtas,88000
Vilnius,1965,"21,5",1,"14,84",2,Blokinis,Centrinis,Įrengtas,57000
Vilnius,1973,30,1,,5,Blokinis,Centrinis,Įrengtas,70000
Kupiškio m.,1991,50,2,,3,Mūrinis,Centriniskolektorinis,Įrengtas,35000
Šalčininkų r. sav.,1994,65,3,,1,Blokinis,Kietukuru,Įrengtas,70000
Kaunas,1970,44,2,"18,48",5,Blokinis,Centrinis,Įrengtas,69900
Šiauliai,1982,"63,92",3,"33,24",3,Blokinis,Centrinis,Įrengtas,62000
Kupiškio r. sav.,1964,"43,11",2,,4,Mūrinis,Centrinis,Įrengtas,9700
Jonavos m.,1982,"49,77",2,,4,Mūrinis,Centrinis,Įrengtas,64500
Šiaulių r. sav.,1978,46,5,,3,Mūrinis,Centrinis,Įrengtas,24000
Klaipėdos r. sav.,2019,"78,28",4,,1,Mūrinis,Kita,Įrengtas,258300
Raseinių m.,1991,"29,82",1,,1,Mūrinis,Centrinis,Įrengtas,30000
Klaipėda,1975,33,1,,9,Blokinis,Centrinis,Įrengtas,45000
Jurbarko r. sav.,1969,37,2,,1,Mūrinis,Kietukuru,Įrengtas,19500
Vilnius,2017,"37,05",2,"18,90",1,Mūrinis,Centriniskolektorinis,Įrengtas,189900
Šiauliai,1966,"44,23",2,"26,98",1,Blokinis,Centrinis,Įrengtas,43500
Vilnius,2007,89,3,"32,04",8,Mūrinis,Centriniskolektorinis,Įrengtas,200000
Panevėžys,1984,"73,62",4,"52,27",8,Mūrinis,Centrinis,Įrengtas,59999
Utenos m.,1978,"48,3",2,,5,Mūrinis,Centrinis,Įrengtas,45000
Ukmergės m.,1968,28,1,,4,Mūrinis,Centrinis,Įrengtas,39500
Kėdainių m.,1981,50,2,,5,Blokinis,Centrinis,Įrengtas,45000
Kėdainių m.,1981,"63,76",3,,2,Blokinis,Centrinis,Įrengtas,46000
Palanga,2021,58,2,,2,Mūrinis,Dujinis,Įrengtas,137000
Vilnius,1970,25,1,"16,75",5,Mūrinis,Centrinis,Įrengtas,23999
Jurbarko m.,1969,36,2,,4,Mūrinis,Centrinis,Įrengtas,14000
Klaipėda,1988,"43,51",1,,4,Mūrinis,Centrinis,Įrengtas,47500
Šiauliai,1983,64,3,"39,04",3,Blokinis,Centrinis,Įrengtas,75550
Alytus,1971,"64,39",3,,1,Blokinis,Centrinis,Įrengtas,64999
Panevėžys,1964,38,2,"26,22",5,Mūrinis,Centrinis,Įrengtas,59000
Molėtų m.,2011,"81,23",3,,1,Mūrinis,Geoterminis,Įrengtas,125900
Vilnius,2017,"51,23",2,,1,Mūrinis,Dujinis,Įrengtas,82900
Kauno r. sav.,1987,52,2,,3,Mūrinis,Centrinis,Įrengtas,80000
Klaipėda,1960,"42,24",2,,3,Mūrinis,Centrinis,Įrengtas,46000
Klaipėdos r. sav.,1975,62,3,,5,Blokinis,Centrinis,Įrengtas,72000
Ukmergės m.,1985,53,2,,3,Mūrinis,Centrinis,Įrengtas,55500
Šakių m.,1968,"46,48",2,,4,Mūrinis,Centrinis,Įrengtas,32150
Kaunas,1967,"41,7",2,"25,02",2,Mūrinis,Centrinis,Įrengtas,57000
Vilnius,2007,56,2,"20,72",5,Mūrinis,Centriniskolektorinis,Įrengtas,110320
Vilnius,2017,31,1,"8,99",8,Mūrinis,Centriniskolektorinis,Įrengtas,115000
Vilnius,1970,"62,5",3,"38,13",5,Blokinis,Centrinis,Įrengtas,96000
Jonavos m.,1970,"60,87",3,,2,Blokinis,Centrinis,Įrengtas,65000
Kaunas,1989,"49,51",2,,6,Blokinis,Centrinis,Įrengtas,77900
Vilnius,1988,40,2,"8,80",2,Blokinis,Centrinis,Įrengtas,96000
Vilnius,1981,"51,3",2,,3,Kita,"Centriniskolektorinis,dujinis",Įrengtas,146900
Vilnius,2021,45,2,,7,Mūrinis,Centriniskolektorinis,Įrengtas,167000
Vilnius,2006,56,2,"21,84",4,Blokinis,Centriniskolektorinis,Įrengtas,199000
Alytus,1978,"61,15",3,,2,Blokinis,Centrinis,Įrengtas,47000
Kaunas,1967,50,2,,5,Mūrinis,Centrinis,Įrengtas,56500
Kaunas,1917,81,3,,3,Mūrinis,Dujinis,Įrengtas,250000
Kelmės r. sav.,1980,60,3,,1,Mūrinis,Kietukuru,Įrengtas,16000
Tauragės m.,2020,72,4,,2,Mūrinis,Centrinis,Įrengtas,76000
Vilkaviškio m.,1971,"34,83",1,,1,Mūrinis,Centrinis,Įrengtas,29000
Druskininkų m.,2010,"36,6",1,,2,Mūrinis,Centriniskolektorinis,Įrengtas,88900
Tauragės m.,1995,69,3,,5,Mūrinis,Centrinis,Įrengtas,59000
Vilnius,2009,"86,93",3,"33,03",5,Mūrinis,Centriniskolektorinis,Įrengtas,275000
Ukmergės m.,1980,"35,84",1,,4,Blokinis,Centrinis,Įrengtas,32000
Panevėžys,1986,"49,49",2,"36,62",6,Mūrinis,Centrinis,Įrengtas,41900
Klaipėda,1960,"42,31",2,,1,Mūrinis,Centrinis,Įrengtas,90000
Šilutės m.,1984,"47,17",2,,1,Blokinis,Centrinis,Įrengtas,43000
Ukmergės m.,1970,54,3,,5,Mūrinis,Centrinis,Įrengtas,60990
Šakių m.,1964,"50,74",3,,1,Mūrinis,Centrinis,Įrengtas,48000
Kaunas,1900,"53,74",2,,1,Rąstinis,Kietukuru,Įrengtas,43000
Kretingos m.,1985,50,3,,1,Mūrinis,Centrinis,Įrengtas,64999
Kauno r. sav.,2009,"53,25",2,,4,Mūrinis,Dujinis,Įrengtas,88000
Utenos r. sav.,1986,60,3,,1,Mūrinis,Kita,Įrengtas,14000
Alytus,1976,18,1,,2,Mūrinis,Centrinis,Įrengtas,10000
Vilnius,1964,51,3,"40,29",5,Mūrinis,Centrinis,Įrengtas,125000
Jonavos m.,1972,51,2,,2,Blokinis,Centrinis,Įrengtas,51000
Vilnius,1968,"46,87",2,"28,12",4,Blokinis,Centrinis,Įrengtas,95000
Alytus,1972,"54,41",3,,3,Mūrinis,Centrinis,Įrengtas,47000
Palanga,1992,77,4,,1,Mūrinis,Centrinis,Įrengtas,108000
Ukmergės r. sav.,1986,"31,66",1,,2,Blokinis,Dujinis,Įrengtas,16000
Radviliškio r. sav.,1968,"54,7",3,,2,Mūrinis,Centrinis,Įrengtas,14600
Klaipėda,1970,48,3,,5,Blokinis,Centrinis,Įrengtas,55000
Kauno r. sav.,1969,40,2,,1,Mūrinis,Centrinis,Įrengtas,47000
Vilnius,1960,45,2,"6,75",4,Blokinis,Centrinis,Įrengtas,90000
Klaipėda,1981,"47,59",2,,2,Blokinis,Centrinis,Įrengtas,66000
Šiauliai,1967,"44,69",2,"36,20",1,Mūrinis,Centrinis,Įrengtas,75000
Vilnius,1972,47,3,,1,Blokinis,Centrinis,Įrengtas,90000
Panevėžys,1986,"50,42",2,"29,24",8,Blokinis,Centrinis,Įrengtas,48000
Vilnius,2017,45,2,,5,Mūrinis,Centrinis,Įrengtas,145000
Elektrėnų sav.,1994,"69,08",3,,3,Blokinis,Centrinis,Įrengtas,89000
Tauragės r. sav.,1963,41,2,,1,Mūrinis,Centriniskolektorinis,Įrengtas,26000
Panevėžys,1989,"64,25",3,,2,Mūrinis,Centrinis,Įrengtas,90000
Joniškio m.,1978,"56,85",3,,5,Mūrinis,Centrinis,Įrengtas,22000
Trakų r. sav.,2007,56,2,,4,Mūrinis,Dujinis,Įrengtas,125000
Vilnius,2008,67,2,"18,76",9,Mūrinis,Centrinis,Įrengtas,190000
Akmenės r. sav.,1958,55,3,,2,Mūrinis,Kietukuru,Įrengtas,46500
Kaunas,1937,"28,14",2,,2,Medinis,Elektra,Įrengtas,18500
Tauragės m.,1971,"28,96",1,,4,Mūrinis,Centrinis,Įrengtas,31000
Vilnius,1979,"28,5",1,,4,Mūrinis,Elektra,Įrengtas,34900
Vilnius,1965,50,2,,1,Mūrinis,Centrinis,Įrengtas,89500
Visagino m.,1987,37,1,,7,Mūrinis,Centrinis,Įrengtas,14000
Vilnius,1940,"43,1",2,,4,Mūrinis,Dujinis,Įrengtas,154000
Visagino m.,1981,"82,86",4,,4,Blokinis,Centrinis,Įrengtas,50000
Vilnius,2008,"45,24",2,"15,38",9,Mūrinis,Centriniskolektorinis,Įrengtas,99500
Kaunas,1989,30,1,"16,20",1,Mūrinis,Centrinis,Įrengtas,60000
Klaipėdos r. sav.,1904,41,2,,2,Mūrinis,Kietukuru,Įrengtas,34900
Palanga,2016,71,2,,3,Mūrinis,Dujinis,Įrengtas,206000
Pasvalio m.,1978,78,4,,4,Mūrinis,Centrinis,Įrengtas,49000
Šiauliai,1972,18,1,"16,56",3,Mūrinis,Centrinis,Įrengtas,14000
Klaipėda,1989,"43,3",1,,2,Blokinis,Centrinis,Įrengtas,59000
Kaunas,2018,"50,2",2,,4,Mūrinis,Centriniskolektorinis,Įrengtas,180000
Rokiškio r. sav.,1955,"49,41",2,,2,Mūrinis,Elektra,Įrengtas,15900
Visagino m.,1981,"58,18",2,,4,Blokinis,"Centrinis,elektra",Įrengtas,30000
Klaipėda,1982,"77,4",4,,5,Blokinis,Centriniskolektorinis,Įrengtas,90000
Kaunas,1990,87,3,,1,Mūrinis,"Elektra,kietukuru",Įrengtas,65500
Vilnius,1984,57,2,,11,Mūrinis,Centrinis,Įrengtas,90000
Kaunas,1992,"76,19",3,"29,71",1,Blokinis,Centrinis,Įrengtas,95900
Palanga,1995,"50,94",2,,2,Mūrinis,Elektra,Įrengtas,84000
Akmenės r. sav.,1978,"33,23",1,,5,Blokinis,Centrinis,Įrengtas,14900
Marijampolės m.,1981,60,3,,1,Blokinis,Centrinis,Įrengtas,72000
Kaunas,2007,"54,23",2,,3,Mūrinis,Centriniskolektorinis,Įrengtas,104000
Vilnius,2006,98,3,"38,22",3,Mūrinis,"Centriniskolektorinis,saulėsbaterijos",Įrengtas,259000
Mažeikių m.,1982,64,3,,4,Blokinis,Centrinis,Įrengtas,59999
Trakų r. sav.,1988,80,4,,1,Mūrinis,Centrinis,Įrengtas,90000
Klaipėda,1963,66,3,,3,Mūrinis,Centrinis,Įrengtas,169000
Vilnius,1974,47,2,,2,Blokinis,Centrinis,Įrengtas,85000
Biržų m.,1970,"48,8",2,,5,Mūrinis,Centriniskolektorinis,Įrengtas,22000
Kaišiadorių m.,1974,"47,12",2,,4,Blokinis,Centrinis,Įrengtas,50000
Palanga,1994,"84,25",3,,3,Mūrinis,"Elektra,dujinis",Įrengtas,95000
Klaipėda,1950,"82,6",4,,1,Mūrinis,Centrinis,Įrengtas,145000
Marijampolės m.,1980,39,2,,5,Blokinis,Centrinis,Įrengtas,46500
Vilnius,1992,"70,15",3,,3,Blokinis,Centrinis,Įrengtas,118500
Vilnius,2009,"58,09",2,"22,66",7,Mūrinis,Centriniskolektorinis,Įrengtas,117800
Vilnius,2014,28,1,"12,32",4,Mūrinis,Centriniskolektorinis,Įrengtas,77500
Elektrėnų m.,1985,"60,99",3,,1,Kita,Centrinis,Įrengtas,65000
Vilnius,1969,"32,32",1,"17,45",4,Blokinis,Centrinis,Įrengtas,68000
Klaipėda,2011,"97,09",3,,5,Monolitinis,Centriniskolektorinis,Įrengtas,144500
Klaipėda,2008,71,3,,1,Mūrinis,"Centrinis,centriniskolektorinis",Įrengtas,99000
Kazlų Rūdos m.,1981,"51,37",2,,2,Mūrinis,Dujinis,Įrengtas,30000
Alytus,1974,48,2,,4,Blokinis,Centrinis,Įrengtas,49900
Vilnius,1972,"49,5",2,,4,Blokinis,Centrinis,Įrengtas,93500
Šiauliai,1963,37,2,"31,45",4,Mūrinis,Centrinis,Įrengtas,42000
Vilnius,2014,"70,64",3,,1,Mūrinis,"Elektra,centriniskolektorinis",Įrengtas,215000
Vilnius,1992,50,2,,7,Blokinis,Centrinis,Įrengtas,85000
Alytus,1978,"61,01",3,,2,Blokinis,Centrinis,Įrengtas,59000
Kaunas,1987,61,3,"30,50",1,Blokinis,Centrinis,Įrengtas,74000
Klaipėdos r. sav.,1901,58,3,,2,Mūrinis,Kietukuru,Įrengtas,40000
Kaunas,1990,106,4,"49,82",3,Mūrinis,Centrinis,Įrengtas,99000
Palanga,2010,"63,84",2,,3,Monolitinis,Centrinis,Įrengtas,190941
Kaunas,1936,35,2,,2,Medinis,Dujinis,Įrengtas,24900
Varėnos m.,1986,"43,82",2,,5,Mūrinis,Centrinis,Įrengtas,46000
Vilnius,1964,"6,4",1,,2,Mūrinis,Elektra,Įrengtas,12000
Vilnius,2008,"71,6",3,"27,92",6,Mūrinis,Centriniskolektorinis,Įrengtas,193300
Prienų r. sav.,1985,33,1,,3,Mūrinis,Centrinis,Įrengtas,19000
Klaipėda,1970,51,2,,4,Mūrinis,Centrinis,Įrengtas,55500
Vilniaus r. sav.,1964,42,2,,1,Mūrinis,Centrinis,Įrengtas,60000
Elektrėnų m.,1989,"67,37",3,,5,Blokinis,Centrinis,Įrengtas,81000
Birštono m.,1979,39,1,,2,Mūrinis,Centrinis,Įrengtas,79000
Kaunas,1986,"36,92",1,"23,63",8,Mūrinis,Centrinis,Įrengtas,55700
Utenos m.,1985,"38,61",2,,3,Mūrinis,Centrinis,Įrengtas,47000
